,Power_kW,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,holiday,weekend,hour,day,month,Power_kW_-1_day
2017-04-15 14:00:00,113.521675,20.39,38.54333333333333,0.0,0.0,1021.4166666666666,854.6666666666666,0.0,0.0,0,1,14,15,4,116.71833
2017-04-15 15:00:00,110.942064,20.4975,39.53333333333333,0.0,0.0,1020.9166666666666,750.7916666666666,0.0,0.0,0,1,15,15,4,108.5361605
2017-04-15 16:00:00,106.547155,19.995833333333334,45.86333333333334,0.0,0.0,1020.25,632.2583333333333,0.0,0.0,0,1,16,15,4,107.2893995
2017-04-15 17:00:00,110.047525,19.645833333333332,48.30083333333334,0.0,0.0,1020.0,485.925,0.0,0.0,0,1,17,15,4,106.86835
2017-04-15 18:00:00,106.463251,18.779166666666665,47.02166666666667,0.0,0.0,1020.0,273.075,0.0,0.0,0,1,18,15,4,109.4219595
2017-04-15 19:00:00,102.3963105,17.238333333333333,51.729166666666664,0.0,0.0,1020.0833333333334,76.02166666666666,0.0,0.0,0,1,19,15,4,103.899809
2017-04-15 20:00:00,110.7233455,16.107499999999998,56.8825,0.0,0.0,1021.0,1.6031666666666666,0.0,0.0,0,1,20,15,4,113.1539395
2017-04-15 21:00:00,97.4512185,15.305833333333332,58.509166666666665,0.0,0.0,1021.4166666666666,0.0,0.0,0.0,0,1,21,15,4,103.841251
2017-04-15 22:00:00,100.2478,14.842500000000001,58.294999999999995,0.0,0.0,1021.9166666666666,0.0,0.0,0.0,0,1,22,15,4,99.3700855
2017-04-15 23:00:00,102.8874985,14.265833333333333,61.20666666666667,0.0,0.0,1021.25,0.0,0.0,0.0,0,1,23,15,4,102.4622975
2017-04-16 00:00:00,102.0733675,14.153333333333334,60.5325,0.0,0.0,1021.75,0.0,0.0,0.0,1,1,0,16,4,97.9170605
2017-04-16 01:00:00,97.4472855,14.19,57.51666666666667,0.0,0.0,1021.1666666666666,0.0,0.0,0.0,1,1,1,16,4,97.9332295
2017-04-16 02:00:00,100.8305395,13.86,59.27,0.0,0.0,1020.5,0.0,0.0,0.0,1,1,2,16,4,99.384725
2017-04-16 03:00:00,99.7952865,13.518333333333333,62.87083333333334,0.0,0.0,1020.0,0.0,0.0,0.0,1,1,3,16,4,91.0526645
2017-04-16 04:00:00,96.3766355,13.499166666666667,62.77916666666667,0.0,0.0,1020.0,0.0,0.0,0.0,1,1,4,16,4,96.0089
2017-04-16 05:00:00,100.934327,13.229166666666666,66.3725,0.0,0.0,1020.0,0.0,0.0,0.0,1,1,5,16,4,101.106505
2017-04-16 06:00:00,94.7780895,13.048333333333334,68.98083333333334,0.0,0.0,1020.0,0.05533333333333334,0.0,0.0,1,1,6,16,4,96.1629425
2017-04-16 07:00:00,95.8622865,13.0025,70.37916666666666,0.0,0.0,1020.6666666666666,43.45941666666667,0.0,0.0,1,1,7,16,4,106.048975
2017-04-16 08:00:00,100.9323605,13.485,70.7825,0.0,0.0,1021.0,204.8166666666667,0.0,0.0,1,1,8,16,4,113.125753
2017-04-16 09:00:00,100.960984,15.959166666666667,60.22,0.0,0.0,1021.0,445.7833333333333,0.0,0.0,1,1,9,16,4,103.842125
2017-04-16 10:00:00,101.7189605,18.07,51.17083333333333,0.0,0.0,1021.0,648.7666666666667,0.0,0.0,1,1,10,16,4,100.5893155
2017-04-16 11:00:00,103.438774,18.400833333333335,50.800000000000004,0.0,0.0,1021.0,772.9250000000001,0.0,0.0,1,1,11,16,4,108.727348
2017-04-16 12:00:00,101.3693605,19.800833333333333,44.67083333333333,0.0,0.0,1020.9166666666666,866.0833333333334,0.0,0.0,1,1,12,16,4,103.15385
2017-04-16 13:00:00,102.7826185,20.0575,43.75333333333333,0.0,0.0,1020.0,902.9166666666666,0.0,0.0,1,1,13,16,4,109.5119815
2017-04-16 14:00:00,102.028575,21.13,40.84,0.0,0.0,1019.9166666666666,881.75,0.0,0.0,1,1,14,16,4,113.521675
2017-04-16 15:00:00,101.2928855,21.560833333333335,37.410000000000004,0.0,0.0,1019.0,803.0833333333334,0.0,0.0,1,1,15,16,4,110.942064
2017-04-16 16:00:00,103.758658,22.444166666666664,31.605,0.0,0.0,1018.3333333333334,670.4,0.0,0.0,1,1,16,16,4,106.547155
2017-04-16 17:00:00,99.805556,23.21083333333333,28.0675,0.0,0.0,1018.0,502.25,0.0,0.0,1,1,17,16,4,110.047525
2017-04-16 18:00:00,96.5333,21.200833333333332,38.2525,0.0,0.0,1018.5,299.71666666666664,0.0,0.0,1,1,18,16,4,106.463251
2017-04-16 19:00:00,100.660765,17.879166666666666,47.89083333333334,0.0,0.0,1019.0,105.9275,0.0,0.0,1,1,19,16,4,102.3963105
2017-04-16 20:00:00,98.2011105,17.224166666666665,42.05583333333333,0.0,0.0,1019.0,3.1694999999999998,0.0,0.0,1,1,20,16,4,110.7233455
2017-04-16 21:00:00,100.860474,16.375,43.935833333333335,0.0,0.0,1019.5,0.0,0.0,0.0,1,1,21,16,4,97.4512185
2017-04-16 22:00:00,101.1919385,14.969999999999999,55.54,0.0,0.0,1020.0,0.0,0.0,0.0,1,1,22,16,4,100.2478
2017-04-16 23:00:00,96.72995,14.1875,60.16166666666666,0.0,0.0,1020.0,0.0,0.0,0.0,1,1,23,16,4,102.8874985
2017-04-17 00:00:00,94.149465,13.860833333333334,59.6625,0.0,0.0,1020.0,0.0,0.0,0.0,0,0,0,17,4,102.0733675
2017-04-17 01:00:00,101.3619315,13.811666666666667,57.288333333333334,0.0,0.0,1019.8333333333334,0.0,0.0,0.0,0,0,1,17,4,97.4472855
2017-04-17 02:00:00,94.9598815,13.073333333333332,68.0175,0.0,0.0,1019.0,0.0023333333333333335,0.0,0.0,0,0,2,17,4,100.8305395
2017-04-17 03:00:00,96.2756885,13.083333333333334,66.955,0.0,0.0,1019.0,0.0,0.0,0.0,0,0,3,17,4,99.7952865
2017-04-17 04:00:00,97.7278395,12.880833333333333,69.16416666666667,0.0,0.0,1019.0,0.0,0.0,0.0,0,0,4,17,4,96.3766355
2017-04-17 05:00:00,100.100094,12.734166666666667,73.875,0.0,0.0,1018.5,0.0185,0.0,0.0,0,0,5,17,4,100.934327
2017-04-17 06:00:00,105.0974075,12.329166666666666,79.33333333333333,0.0,0.0,1018.4166666666666,0.34383333333333327,0.0,0.0,0,0,6,17,4,94.7780895
2017-04-17 07:00:00,135.699425,12.084166666666667,83.31666666666666,0.0,0.0,1019.0,50.92225,0.0,0.0,0,0,7,17,4,95.8622865
2017-04-17 08:00:00,450.8006785,12.969166666666666,79.86666666666667,0.0,0.0,1019.0,211.11666666666667,0.0,0.0,0,0,8,17,4,100.9323605
2017-04-17 09:00:00,270.273575,14.518333333333333,68.81416666666667,0.0,0.0,1019.0,414.4083333333333,0.0,0.0,0,0,9,17,4,100.960984
2017-04-17 10:00:00,313.144149,17.1375,54.23333333333333,0.0,0.0,1019.0,597.6833333333333,0.0,0.0,0,0,10,17,4,101.7189605
2017-04-17 11:00:00,344.978725,19.354166666666668,42.0425,0.0,0.0,1018.8333333333334,748.6916666666666,0.0,0.0,0,0,11,17,4,103.438774
2017-04-17 12:00:00,338.7311545,21.47230769230769,29.21846153846154,0.0,0.0,1018.0,848.9230769230769,0.0,0.0,0,0,12,17,4,101.3693605
2017-04-17 13:00:00,387.236625,23.145,19.403333333333332,0.0,0.0,1017.9166666666666,886.5833333333334,0.0,0.0,0,0,13,17,4,102.7826185
2017-04-17 14:00:00,363.4076705,24.621666666666666,16.578333333333333,0.0,0.0,1017.0,860.1666666666666,0.0,0.0,0,0,14,17,4,102.028575
2017-04-17 15:00:00,415.9803,25.985833333333332,10.848333333333334,0.0,0.0,1017.0,777.25,0.0,0.0,0,0,15,17,4,101.2928855
2017-04-17 16:00:00,258.0701315,25.9825,22.233333333333334,0.0,0.0,1016.0833333333334,631.0666666666667,0.0,0.0,0,0,16,17,4,103.758658
2017-04-17 17:00:00,220.0913355,23.633333333333336,35.62916666666667,0.0,0.0,1016.0,281.3833333333333,0.0,0.0,0,0,17,17,4,99.805556
2017-04-17 18:00:00,216.9268,21.826666666666668,34.87583333333333,0.0,0.0,1016.25,107.64083333333333,0.0,0.0,0,0,18,17,4,96.5333
2017-04-17 19:00:00,180.399281,21.50583333333333,34.57,0.0,0.0,1016.0,30.60083333333333,0.0,0.0,0,0,19,17,4,100.660765
2017-04-17 20:00:00,152.513,20.963333333333335,35.1525,0.0,0.0,1016.4166666666666,0.6619166666666666,0.0,0.0,0,0,20,17,4,98.2011105
2017-04-17 21:00:00,106.856114,20.591666666666665,34.9675,0.0,0.0,1017.5,0.0,0.0,0.0,0,0,21,17,4,100.860474
2017-04-17 22:00:00,103.9336765,20.3025,36.385,0.0,0.0,1017.1666666666666,0.0,0.0,0.0,0,0,22,17,4,101.1919385
2017-04-17 23:00:00,105.38255,20.0425,34.235,0.0,0.0,1016.5833333333334,0.0,0.0,0.0,0,0,23,17,4,96.72995
2017-04-18 00:00:00,96.6571895,18.94,42.295833333333334,0.0,0.0,1016.0,0.0,0.0,0.0,0,0,0,18,4,94.149465
2017-04-18 01:00:00,98.7906235,18.212500000000002,48.415,0.0,0.0,1015.5,0.0,0.0,0.0,0,0,1,18,4,101.3619315
2017-04-18 02:00:00,102.2140815,17.732499999999998,47.350833333333334,0.0,0.0,1015.0,0.0,0.0,0.0,0,0,2,18,4,94.9598815
2017-04-18 03:00:00,90.414863,17.14916666666667,50.14083333333334,0.0,0.0,1014.5833333333334,0.0,0.0,0.0,0,0,3,18,4,96.2756885
2017-04-18 04:00:00,96.78676,17.214166666666667,47.46333333333333,0.0,0.0,1014.0,0.0,0.0,0.0,0,0,4,18,4,97.7278395
2017-04-18 05:00:00,92.0468395,18.374166666666667,34.295,0.0,0.0,1014.0,0.0,0.0,0.0,0,0,5,18,4,100.100094
2017-04-18 06:00:00,104.6477345,19.505,26.945833333333336,0.0,0.0,1014.0833333333334,0.0,0.0,0.0,0,0,6,18,4,105.0974075
2017-04-18 07:00:00,133.48165,19.18583333333333,32.935833333333335,0.0,0.0,1014.9166666666666,9.95325,0.0,0.0,0,0,7,18,4,135.699425
2017-04-18 08:00:00,481.5396955,19.465,29.005,0.0,0.0,1014.4166666666666,73.43416666666667,0.0,0.0,0,0,8,18,4,450.8006785
2017-04-18 09:00:00,333.76749,16.984166666666667,46.689166666666665,0.0,0.0,1015.5,62.875,0.0,0.0,0,0,9,18,4,270.273575
2017-04-18 10:00:00,330.5905,16.81,59.165,0.0,0.0,1014.8333333333334,205.20000000000002,0.0,0.0,0,0,10,18,4,313.144149
2017-04-18 11:00:00,339.6003475,18.895833333333332,50.10333333333333,0.0,0.0,1014.0833333333334,629.1416666666667,0.0,0.0,0,0,11,18,4,344.978725
2017-04-18 12:00:00,373.35095,19.036666666666665,48.47416666666667,0.0,0.0,1013.5,622.1750000000001,0.0,0.0,0,0,12,18,4,338.7311545
2017-04-18 13:00:00,354.330962,19.59,43.178333333333335,0.0,0.0,1012.8333333333334,621.6583333333333,0.0,0.0,0,0,13,18,4,387.236625
2017-04-18 14:00:00,371.3636925,20.570833333333333,40.458333333333336,0.0,0.0,1012.0,717.5749999999999,0.0,0.0,0,0,14,18,4,363.4076705
2017-04-18 15:00:00,418.9082,21.464166666666667,35.3575,0.0,0.0,1012.0,328.2083333333333,0.0,0.0,0,0,15,18,4,415.9803
2017-04-18 16:00:00,265.954267,21.829166666666666,34.90416666666666,0.0,0.0,1010.5,554.0833333333334,0.0,0.0,0,0,16,18,4,258.0701315
2017-04-18 17:00:00,246.032748,22.33,35.93083333333333,0.0,0.0,1010.0,297.375,0.0,0.0,0,0,17,18,4,220.0913355
2017-04-18 18:00:00,215.5683855,22.5775,34.07083333333333,0.0,0.0,1010.4166666666666,209.79166666666666,0.0,0.0,0,0,18,18,4,216.9268
2017-04-18 19:00:00,191.5045435,22.359166666666667,34.04083333333333,0.0,0.0,1010.0,77.0775,0.0,0.0,0,0,19,18,4,180.399281
2017-04-18 20:00:00,153.7219605,22.370833333333334,31.561666666666667,0.0,0.0,1010.0,1.0308333333333335,0.0,0.0,0,0,20,18,4,152.513
2017-04-18 21:00:00,110.7762225,21.36583333333333,33.82,0.0,0.0,1010.1666666666666,0.0,0.0,0.0,0,0,21,18,4,106.856114
2017-04-18 22:00:00,107.2181685,21.68166666666667,32.5175,0.0,0.0,1010.4166666666666,0.0,0.0,0.0,0,0,22,18,4,103.9336765
2017-04-18 23:00:00,101.788225,21.118333333333336,35.218333333333334,0.0,0.0,1010.0,0.0,0.0,0.0,0,0,23,18,4,105.38255
2017-04-19 00:00:00,106.315108,19.560833333333335,44.22083333333333,0.0,0.0,1010.6666666666666,0.0,0.0,0.0,0,0,0,19,4,96.6571895
2017-04-19 01:00:00,106.8209355,19.505,44.395833333333336,0.0,0.0,1010.0,0.0,0.0,0.0,0,0,1,19,4,98.7906235
2017-04-19 02:00:00,103.6972595,19.253333333333334,43.41833333333333,0.0,0.0,1009.25,0.0,0.0,0.0,0,0,2,19,4,102.2140815
2017-04-19 03:00:00,105.9543645,19.236666666666668,40.530833333333334,0.0,0.0,1009.0,0.0,0.0,0.0,0,0,3,19,4,90.414863
2017-04-19 04:00:00,99.5444485,18.11916666666667,51.44416666666667,0.0,0.0,1009.0,0.03,0.0,0.0,0,0,4,19,4,96.78676
2017-04-19 05:00:00,98.5397855,16.2975,61.315,0.0,0.0,1009.0,0.10149999999999999,0.0,0.0,0,0,5,19,4,92.0468395
2017-04-19 06:00:00,109.6793525,15.838333333333333,59.52666666666667,0.0,0.0,1009.25,0.7775833333333333,0.0,0.0,0,0,6,19,4,104.6477345
2017-04-19 07:00:00,138.4343895,15.914166666666667,60.0275,0.0,0.0,1010.0,66.88583333333334,0.0,0.0,0,0,7,19,4,133.48165
2017-04-19 08:00:00,458.4324465,17.500833333333333,55.67416666666667,0.0,0.0,1010.0,249.13333333333333,0.0,0.0,0,0,8,19,4,481.5396955
2017-04-19 09:00:00,343.2488605,18.095833333333335,53.92416666666667,0.0,0.0,1010.0,448.3333333333333,0.0,0.0,0,0,9,19,4,333.76749
2017-04-19 10:00:00,395.208816,19.34272727272727,47.94909090909091,0.0,0.0,1010.0,627.7636363636364,0.0,0.0,0,0,10,19,4,330.5905
2017-04-19 11:00:00,404.5127645,20.06833333333333,41.134166666666665,0.0,0.0,1010.0,769.5,0.0,0.0,0,0,11,19,4,339.6003475
2017-04-19 12:00:00,413.3620145,21.709999999999997,35.469166666666666,0.0,0.0,1009.6666666666666,867.9166666666666,0.0,0.0,0,0,12,19,4,373.35095
2017-04-19 13:00:00,421.1987355,22.07166666666667,36.86333333333334,0.0,0.0,1009.0,899.6666666666666,0.0,0.0,0,0,13,19,4,354.330962
2017-04-19 14:00:00,425.184831,20.815833333333334,42.84,0.0,0.0,1009.0,879.25,0.0,0.0,0,0,14,19,4,371.3636925
2017-04-19 15:00:00,434.738525,19.75916666666667,53.46,0.0,0.0,1009.0,789.275,0.0,0.0,0,0,15,19,4,418.9082
2017-04-19 16:00:00,258.390234,19.143333333333334,61.9725,0.0,0.0,1009.0,645.35,0.0,0.0,0,0,16,19,4,265.954267
2017-04-19 17:00:00,234.8134285,18.636666666666667,64.05416666666666,0.0,0.0,1009.0,486.5416666666667,0.0,0.0,0,0,17,19,4,246.032748
2017-04-19 18:00:00,201.9414145,17.6575,70.05333333333333,0.0,0.0,1009.1666666666666,234.73083333333332,0.0,0.0,0,0,18,19,4,215.5683855
2017-04-19 19:00:00,180.67765,16.753333333333334,74.25,0.0,0.0,1009.9166666666666,89.16083333333334,0.0,0.0,0,0,19,19,4,191.5045435
2017-04-19 20:00:00,149.8160545,16.27,75.28333333333333,0.0,0.0,1010.1666666666666,4.507583333333334,0.0,0.0,0,0,20,19,4,153.7219605
2017-04-19 21:00:00,111.9194145,16.084999999999997,75.84166666666667,0.0,0.0,1011.0,0.043750000000000004,0.0,0.0,0,0,21,19,4,110.7762225
2017-04-19 22:00:00,109.0373995,16.0025,75.95833333333333,0.0,0.0,1011.0,0.03225,0.0,0.0,0,0,22,19,4,107.2181685
2017-04-19 23:00:00,100.5574145,15.9825,76.18333333333334,0.0,0.0,1011.0,0.04158333333333333,0.0,0.0,0,0,23,19,4,101.788225
2017-04-20 00:00:00,103.7121175,16.099166666666665,76.63333333333334,0.0,0.0,1011.25,0.05775,0.0,0.0,0,0,0,20,4,106.315108
2017-04-20 01:00:00,96.4338825,16.033333333333335,78.44166666666666,0.0,0.0,1011.1666666666666,0.10841666666666666,0.0,0.0,0,0,1,20,4,106.8209355
2017-04-20 02:00:00,92.666287,15.772499999999999,82.075,0.0,0.0,1011.0,0.10375000000000001,0.0,0.0,0,0,2,20,4,103.6972595
2017-04-20 03:00:00,99.9709605,15.700000000000001,82.98333333333333,0.0,0.0,1011.0,0.0785,0.0,0.0,0,0,3,20,4,105.9543645
2017-04-20 04:00:00,96.4491775,15.185,78.24166666666666,0.0,0.0,1011.0,0.16858333333333334,0.0,0.0,0,0,4,20,4,99.5444485
